aid,sid
1347349,376241665
1347349,376241683
1347349,376241765
1347349,376241783
1347349,376241784
1347349,376241798
1347349,376241832
1347349,376241834
1347349,376241848
1347349,376241850
1347349,376241865
1347349,376241867
1347349,376241587
1347349,376241592
1347349,376241621
1347349,376241644
1347358,376241704
1347358,376241727
1347358,376241736
1347358,376241754
1347358,376241770
1347358,376241843
1347358,376241868
1347358,376241879
1347358,376241556
1347358,376241557
1347358,376241607
1347358,376241674
1347358,376241691
1347358,376241739
1347358,376241742
1347358,376241824
1347358,376241825
1347358,376241842
1347358,376241873
1347358,376241874
1347358,376241876
1347358,376241548
1347358,376241550
1347358,376241563
1347358,376241566
1347358,376241581
1347358,376241597
1347358,376241648
1347358,376241697
1347352,376241706
1347352,376241707
1347352,376241725
1347352,376241755
1347352,376241757
1347352,376241759
1347352,376241773
1347352,376241774
1347352,376241790
1347352,376241805
1347352,376241806
1347352,376241807
1347352,376241841
1347352,376241541
1347352,376241574
1347352,376241606
1347352,376241608
1347352,376241656
1347352,376241673
1347352,376241688
1347352,376241689
1347352,376241708
1347352,376241724
1347352,376241772
1347352,376241775
1347352,376241792
1347352,376241809
1347352,376241839
1347352,376241840
1347352,376241857
1347365,376241647
1347365,376241649
1347365,376241650
1347365,376241665
